company_name,ticker,total_meetings_2020_plus,total_disagreements
acerinox sa,ACX,6,1
air liquide sa,AI,6,1
akzo nobel nv,AKZA,7,0
albemarle corp,ALB,6,7
alcoa corp,AA,7,3
alpek sab de cv,ALPEKA,10,1
anglo american plc,AAL,7,0
anglogold ashanti plc,AU,10,0
antofagasta plc,ANTO,7,1
aperam sa,APAM,6,2
arcelormittal sa,MT,7,4
arkema sa,AKE,6,0
asahi kasei corp,3407,6,0
avery dennison corp,AVY,6,4
basf se,BAS,6,0
boliden ab,BOL,7,0
capstone copper corp,CS,3,1
carpenter technology corp,CRS,6,1
celanese corp,CE,6,5
cleveland-cliffs inc,CLF,7,9
covestro ag,1COV,6,0
croda international plc,CRDA,6,0
dow inc,DOW,6,10
eastman chemical co,EMN,6,10
ecolab inc,ECL,6,14
empresas cmpc sa,CMPC,6,14
ems-chemie holding ag,EMSN,12,7
eregli demir ve celik fabrikalari tas,EREGL.E,6,5
evonik industries ag,EVK,6,4
fastenal co,FAST,6,2
first quantum minerals ltd,FM,6,0
fmc corp,FMC,6,2
fortescue ltd,FMG,6,1
franco-nevada corp,FNV,6,0
fuchs se,FPE3,7,1
gerdau sa,GGBR4,2,0
givaudan sa,GIVN,12,8
gold fields ltd,GFI,8,0
holmen ab,HOLM.B,7,7
hudbay minerals inc,HBM,7,3
icl group ltd,ICL,12,0
igo ltd,IGO,6,0
imcd nv,IMCD,7,1
international paper co,IP,7,10
ivanhoe mines ltd,IVN,6,9
k+s ag,SDF,6,2
kinross gold corp,K,6,5
klabin sa,KLBN4,11,12
lanxess ag,LXS,6,0
linde plc,LIN,8,3
lundin gold inc,LUG,2,1
lundin mining corp,LUN,6,8
newmont corp,NEM,8,0
nippon steel corp,5401,6,3
nissan chemical corp,4021,6,0
nitto denko corp,6988,6,0
northern star resources ltd,NST,7,1
nucor corp,NUE,6,3
nutrien ltd,NTR,6,0
pan american silver corp,PAAS,7,2
rbc bearings inc,RBC,6,5
rio tinto plc,RIO,14,4
salzgitter ag,SZG,5,6
sappi ltd,SAP,6,0
sigma lithium corp,SGML,2,3
sociedad quimica y minera de chile sa,SQM.B,11,6
solgold plc,SOLG,5,9
south32 ltd,S32,6,0
ssab ab,SSAB.B,7,2
stora enso oyj,STERV,6,1
suzano sa,SUZB3,19,11
svenska cellulosa ab sca,SCA.B,6,0
symrise ag,SY1,6,0
tianqi lithium corp,9696,30,9
triple flag precious metals corp,TFPM,4,1
umicore sa,UMI,6,0
united states steel corp,X,7,1
upm-kymmene oyj,UPM,6,0
uranium energy corp,UEC,2,0
voestalpine ag,VOE,6,8
wacker chemie ag,WCH,5,3
wheaton precious metals corp,WPM,6,2
accor sa,AC,6,20
adidas ag,ADS,6,2
aisin corp,7259,6,0
alimentation couche-tard inc,ATD,5,0
alsea sab de cv,ALSEA,7,10
aptiv plc,APTV,8,6
aramark,ARMK,6,1
asics corp,7936,6,1
auto1 group se,AG1,5,3
avolta ag,AVOL,18,10
barratt redrow plc,BTRW,7,0
bayerische motoren werke ag,BMW,6,1
